id,out,unda,vol,fb,a_c0,a_c1,a_c2,a_c3,a_t0,a_t1,b_c0,b_c1,b_c2,b_c3,b_t0,b_t1,note
6,5,sine,0.6,7,0:8.08,,,,,,8:1,40:0.85,1000:0,,500:0,,freq&amp
,,,,,0:1,,,,,,0:1,,,,,,pan
,,,,,0:4,,,,0:10,,0:0,,,,0:0,1000:0,vco freq&amp
,,,,,,,,,,,,,,,,,vca freq&amp
,,,,,0:1,,,,,,,,,,,,fb
5,1,sine,0.3,0,0:2,,,,,,20:1,100:0.9,1000:0,,400:0,,freq&amp
,,,,,0:1,,,,,,0:1,,,,,,pan
,,,,,,,,,,,,,,,,,vco freq&amp
,,,,,,,,,,,,,,,,,vca freq&amp
,,,,,,,,,,,,,,,,,fb
4,3,sine,0.5,0,0:4.02,,,,,,40:1,70:0.9,800:0,,250:0,,freq&amp
,,,,,0:1,,,,,,0:1,,,,,,pan
,,,,,,,,,,,,,,,,,vco freq&amp
,,,,,,,,,,,,,,,,,vca freq&amp
,,,,,,,,,,,,,,,,,fb
3,1,sine,0.3,0,0:2,,,,,,20:1,60:0.87,600:0,,150:0,,freq&amp
,,,,,0:1,,,,,,0:1,,,,,,pan
,,,,,,,,,,,,,,,,,vco freq&amp
,,,,,,,,,,,,,,,,,vca freq&amp
,,,,,,,,,,,,,,,,,fb
2,1,sine,0.8,0,0:1,,,,,,40:1,80:0.96,1500:0,,250:0,1000:0,freq&amp
,,,,,0:1,,,,,,0:1,,,,,,pan
,,,,,,,,,,,,,,,,,vco freq&amp
,,,,,,,,,,,,,,,,,vca freq&amp
,,,,,,,,,,,,,,,,,fb
1,,sine,1,0,0:1,,,,,,30:1,120:0.88,1500:0,,500:0,,freq&amp
,,,,,0:1,,,,,,0:1,,,,,,pan
,,,,,0:4,,,,,,0:0.001,,,,,,vco freq&amp
,,,,,,,,,,,,,,,,,vca freq&amp
,,,,,,,,,,,,,,,,,fb